,timestamp,year,month,day,hour,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12
0,20220724141200,2022,7,24,14,38.158136986301365,38.84467123287672,40.32316438356164,38.705150684931496,40.26732876712328,38.35913888888886,39.36871232876713,39.752698630137,39.76642465753425,39.23376712328767,41.27742465753426,38.95806849315071,38.95806849315071
1,20220724154800,2022,7,24,15,39.04077499999998,38.33009999999999,42.61321666666666,35.67510924369748,41.09904166666668,40.87487394957986,40.63726666666667,42.69465546218486,38.7288583333333,39.19604166666669,43.839875,36.163950000000014,36.163950000000014
2,20220724168400,2022,7,24,16,36.92036666666668,39.20900833333335,39.0591416666667,34.86481666666664,41.44595000000003,40.24516101694915,39.31995000000001,39.782516666666666,38.49345,37.97531932773111,39.74665833333336,35.31512500000001,35.31512500000001
3,20220724172000,2022,7,24,17,34.61289166666666,37.36314166666668,34.46398333333332,33.35098333333333,40.54853333333335,35.61409166666667,35.103775,40.84338333333333,38.34844999999999,36.29377310924369,36.54305,33.81544999999998,33.81544999999998
4,20220724185600,2022,7,24,18,31.56545833333332,33.35268067226891,31.956216666666663,30.565074999999982,35.60016806722689,32.77126890756301,32.105608333333315,35.9248,34.00242500000001,33.61881666666668,33.37778991596639,31.236725000000003,31.236725000000003
5,20220724199200,2022,7,24,19,28.790773109243705,30.06536666666667,29.456191666666665,28.05371666666664,30.59401666666666,29.82431666666666,29.357358333333323,31.14753333333334,30.59441666666667,30.476296610169484,29.999175,28.625483333333325,28.625483333333325
6,20220724202800,2022,7,24,20,27.42059166666664,27.74020168067227,27.583058333333312,26.83745833333336,28.21741666666668,27.78966666666665,27.63791666666665,28.96362499999999,28.968958333333333,29.125075000000013,28.987458333333336,27.30401666666665,27.30401666666665
7,20220724216400,2022,7,24,21,26.18410084033611,26.568616666666667,26.32898333333333,25.82061666666667,26.678766666666647,26.57897499999999,26.413991596638624,27.77438333333332,27.87131092436975,28.046274999999987,27.80730833333332,26.099166666666672,26.099166666666672
8,20220724220000,2022,7,24,22,25.18896666666667,25.609741666666668,25.273125,24.96241666666667,25.77091666666666,25.600675000000003,25.40675833333336,26.336533333333342,26.41069166666668,26.46544537815128,26.15244537815129,25.13937500000001,25.13937500000001
9,20220724233600,2022,7,24,23,24.259324999999983,24.82994166666668,24.578016666666667,23.978358333333347,24.91494166666665,24.798675000000006,24.533641666666675,25.610865546218506,25.656374999999976,25.71665833333333,25.202462184873955,24.12067500000002,24.12067500000002
10,20220725007200,2022,7,25,0,23.34937499999999,23.85280833333332,23.45786666666669,23.24040000000004,24.44648275862069,23.794075000000024,23.495733333333305,24.38631666666665,24.337621848739488,24.50173333333335,24.09570588235295,23.25520000000001,23.25520000000001
11,20220725010800,2022,7,25,1,22.75275630252104,23.04138655462184,22.671966386554622,22.69853781512604,23.263763636363645,23.042495798319315,22.82440677966101,23.60374166666666,23.57509243697478,23.7684,23.48040833333333,22.65779661016948,22.65779661016948
12,20220725024400,2022,7,25,2,22.201478991596645,22.47640336134453,22.25328571428571,22.177542372881348,22.861428571428565,22.51558823529413,22.286697478991584,23.129983050847475,23.04409401709401,23.246829059829043,22.9121186440678,22.138462184873973,22.138462184873973
13,20220725038000,2022,7,25,3,21.61504999999999,21.94066666666669,21.7395,21.563674999999986,22.1411186440678,21.900216666666687,21.68346666666668,22.52139830508473,22.45279166666666,22.67097500000002,22.32942499999997,21.5602268907563,21.5602268907563
14,20220725041600,2022,7,25,4,21.078616666666644,21.511537815126044,20.99432773109244,21.01966666666666,21.59010924369749,21.423083333333363,21.16082500000001,22.159433333333315,22.09255000000001,22.24290000000001,21.84845,20.99857142857142,20.99857142857142
15,20220725055200,2022,7,25,5,21.118708333333327,21.63070588235293,20.991127118644048,21.09673109243697,21.73218803418803,21.489341666666657,21.25426666666667,22.22486666666667,21.992225,22.20416666666666,21.90773333333333,21.02055,21.02055
16,20220725068800,2022,7,25,6,23.06258823529412,24.96636666666668,24.64370588235295,22.99823333333334,24.21377499999999,23.9322,23.35981666666667,25.002641666666687,24.26806666666668,24.1635,24.01695,23.14774166666665,23.14774166666665
17,20220725072400,2022,7,25,7,27.0835,35.41825833333335,30.33674166666667,26.47135833333333,26.89055,31.55346666666669,27.807621848739505,30.34081666666665,28.383808333333327,27.41970833333333,26.9996218487395,27.02299166666666,27.02299166666666
18,20220725086000,2022,7,25,8,31.636066666666657,39.05502499999999,34.40295798319329,30.412641666666666,31.145983333333334,33.170243697479,31.735243697478992,36.689747899159656,35.01180000000001,30.691891666666653,30.08397500000001,32.320275,32.320275
19,20220725099600,2022,7,25,9,37.405908333333336,43.056175,36.90294166666665,33.190191666666664,36.58034453781511,38.631330508474576,37.44359999999999,38.66624369747899,34.23703333333333,33.68058333333332,33.70163865546219,38.13055,38.13055
20,20220725103200,2022,7,25,10,38.20789166666666,45.54440833333334,39.684325,34.95735833333333,36.67427731092435,44.39805833333334,39.005875,42.722016666666654,36.779766666666674,35.94234166666666,37.803243697479004,38.21995833333333,38.21995833333333
21,20220725116800,2022,7,25,11,40.66346363636364,46.91649549549547,44.08678703703707,35.996532710280384,37.163859649122834,48.06753636363637,38.59950909090908,44.74559633027523,40.11108256880733,38.004889908256885,43.19545871559632,37.18539814814815,37.18539814814815
22,20220725120400,2022,7,25,12,40.07451666666665,46.11951666666667,45.53464999999997,36.731546218487374,38.19698333333334,47.62448333333332,39.25035593220339,45.19840833333332,40.54380833333333,39.08500833333333,40.87550833333333,37.64874789915966,37.64874789915966
