,timestamp,year,month,day,hour,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12
0,20220724141200,2022,7,24,14,30.11194520547945,30.509589041095907,28.796178082191783,27.403291666666668,26.47515068493152,30.736499999999992,27.60066666666668,28.36138356164384,26.418410958904108,26.75443835616437,25.08472602739726,27.67609589041096,29.94263013698629
1,20220724154800,2022,7,24,15,30.89798319327732,33.88700833333334,27.96633333333334,34.104541666666684,26.794175,29.53229166666667,27.884525,26.02013333333333,28.883249999999983,27.733823529411755,22.964,34.02258333333333,33.550425000000004
2,20220724168400,2022,7,24,16,33.98221666666665,32.08314166666667,32.78164166666666,36.59787394957984,26.252733333333328,29.94855833333336,29.42157983193277,29.778366666666663,29.580932773109232,29.889275000000005,28.263208333333328,36.158616666666674,35.74938333333333
3,20220724172000,2022,7,24,17,42.98900833333331,38.24679999999999,44.63700833333333,48.1135333333333,29.212500000000016,40.44988235294117,40.19876666666665,29.74272499999999,31.54820833333334,34.31980833333334,34.68278991596638,46.16161344537819,44.58145833333332
4,20220724185600,2022,7,24,18,57.98518333333335,50.26721666666668,54.40411666666669,61.02175,41.80614285714286,52.40947500000003,53.87760504201681,42.61919166666668,45.38585833333334,46.55038333333334,48.61354166666668,56.94750833333335,52.99212500000001
5,20220724199200,2022,7,24,19,59.11219166666669,52.92211666666666,54.81355833333335,62.62078151260508,49.224191666666655,53.87399999999999,54.70511666666668,48.79520833333333,49.619050000000016,50.88525,55.32641666666669,58.85791666666667,52.89008333333332
6,20220724202800,2022,7,24,20,65.21454166666665,63.43904166666668,64.66951666666664,68.31289166666666,60.236252100840346,63.323025,63.12288333333332,58.23662499999999,56.63663333333332,55.9886333333333,57.44068333333334,64.92550833333333,60.18190833333333
7,20220724216400,2022,7,24,21,70.29490833333332,67.54915000000003,69.40665833333334,72.45487499999997,66.38053333333336,67.72455833333336,67.87513445378151,62.28179166666666,60.42423529411766,59.8593613445378,61.81278151260501,69.80580672268907,65.63661666666668
8,20220724220000,2022,7,24,22,72.26242499999998,69.526075,71.44793333333335,74.05334166666663,68.26175833333335,69.82595798319328,70.16650000000001,66.55909166666665,65.04173333333333,65.27502521008404,67.54476666666667,71.73682500000001,67.75874166666671
9,20220724233600,2022,7,24,23,75.717475,71.83600840336135,73.5355042016807,77.91301666666669,71.73163333333335,72.578243697479,73.19651260504202,68.6914705882353,67.53607500000001,67.76501666666668,71.38767499999996,76.02568067226889,70.71449166666666
10,20220725007200,2022,7,25,0,78.57837500000001,75.53672500000002,77.64784166666666,79.72869999999999,71.43858333333333,76.00488333333338,76.51736666666666,72.707975,72.01966666666664,71.52568333333332,74.28878151260503,78.31297499999997,74.53130252100843
11,20220725010800,2022,7,25,1,81.47985714285714,79.72544537815125,82.23479661016948,82.33660504201677,77.55669090909086,80.12365546218487,80.43574789915962,76.6289166666667,76.06901680672269,75.51019999999995,77.37416666666664,81.45999159663867,78.58488235294116
12,20220725024400,2022,7,25,2,82.9670168067227,81.32402521008396,83.22688235294113,83.78417796610171,78.75461344537815,81.4896134453781,81.81085714285715,78.16697457627119,77.72448275862071,77.0133474576271,79.08350847457628,82.86217647058822,79.98080508474575
13,20220725038000,2022,7,25,3,85.57448333333333,83.9880833333334,86.035875,86.15249999999997,82.43440000000002,84.6012268907563,84.83218333333336,81.21055833333327,80.66942499999998,79.76156410256407,81.79167499999996,85.43147058823529,83.00635833333335
14,20220725041600,2022,7,25,4,87.99684999999998,86.47872268907561,89.80523333333325,88.20851666666667,85.4586302521008,87.29777499999997,87.53316666666663,83.13173109243695,82.67373333333332,81.99884999999999,84.12321848739498,87.77530000000003,86.49465546218484
15,20220725055200,2022,7,25,5,88.94401666666668,87.30526666666664,91.29046551724136,88.97927500000002,86.09720833333334,88.4115583333333,88.42384166666666,84.05155833333332,84.39679166666663,83.41810924369747,85.11674166666668,88.83381666666668,88.20148333333331
16,20220725068800,2022,7,25,6,85.23757500000004,78.22625210084033,80.97436666666671,86.36794999999998,79.28924166666667,82.30960833333332,83.64359999999996,76.07729166666665,78.28048333333331,78.95788235294117,80.38076666666666,84.52709166666668,80.77249166666668
17,20220725072400,2022,7,25,7,72.6952627118644,48.91553333333334,63.93373109243696,75.59580833333334,72.14566666666664,58.751783333333336,69.47050833333333,61.45257500000002,66.07623333333332,69.05472033898307,71.38821666666664,72.5341416666667,71.25626666666666
18,20220725086000,2022,7,25,8,58.19927499999999,41.23550420168067,52.28913333333336,61.065616666666656,58.91358333333333,54.23783193277311,56.87921008403363,44.3066,46.0398083333333,57.87210833333336,60.67276666666663,55.413750000000014,60.04624166666664
19,20220725099600,2022,7,25,9,40.87959166666668,33.07595833333334,44.46223333333333,49.667916666666656,41.79126050420168,39.899308333333344,40.28545833333335,38.21884166666666,45.33458333333333,46.41896666666667,47.244150000000005,38.858716666666666,50.21060833333333
20,20220725103200,2022,7,25,10,36.429925,27.530300000000008,36.80728333333334,42.01403333333333,37.94521666666666,28.417319327731104,34.38039166666667,29.497,36.689470588235295,37.80448739495797,35.3839583333333,36.09945833333333,41.701875
21,20220725116800,2022,7,25,11,32.121481818181806,25.634357798165144,29.5555925925926,38.835037735849056,36.22288596491229,23.89027927927928,34.30299090909092,26.40108256880734,30.394092592592614,33.095339449541285,26.78017431192661,36.929509259259255,34.453514018691585
