value,year,month,day,hour,timestamp
38.95806849315071,2022,7,24,14,20220724141200
36.163950000000014,2022,7,24,15,20220724154800
35.31512500000001,2022,7,24,16,20220724168400
33.81544999999998,2022,7,24,17,20220724172000
31.236725000000003,2022,7,24,18,20220724185600
28.625483333333325,2022,7,24,19,20220724199200
27.30401666666665,2022,7,24,20,20220724202800
26.099166666666672,2022,7,24,21,20220724216400
25.13937500000001,2022,7,24,22,20220724220000
24.12067500000002,2022,7,24,23,20220724233600
23.25520000000001,2022,7,25,0,20220725007200
22.65779661016948,2022,7,25,1,20220725010800
22.138462184873973,2022,7,25,2,20220725024400
21.5602268907563,2022,7,25,3,20220725038000
20.99857142857142,2022,7,25,4,20220725041600
21.02055,2022,7,25,5,20220725055200
23.14774166666665,2022,7,25,6,20220725068800
27.02299166666666,2022,7,25,7,20220725072400
32.320275,2022,7,25,8,20220725086000
38.13055,2022,7,25,9,20220725099600
38.21995833333333,2022,7,25,10,20220725103200
37.18539814814815,2022,7,25,11,20220725116800
37.64874789915966,2022,7,25,12,20220725120400
37.71010924369748,2022,7,25,13,20220725134000
37.87888034188035,2022,7,25,14,20220725147600
35.101186915887865,2022,7,25,15,20220725151200
32.108374999999995,2022,7,25,16,20220725164800
33.994475,2022,7,25,17,20220725178400
31.73905042016807,2022,7,25,18,20220725182000
29.02379166666666,2022,7,25,19,20220725195600
26.958475,2022,7,25,20,20220725209200
27.41576666666668,2022,7,25,21,20220725212800
27.436616666666648,2022,7,25,22,20220725226400
25.96768907563026,2022,7,25,23,20220725230000
24.578760683760688,2022,7,26,0,20220726003600
22.514680672268906,2022,7,26,1,20220726017200
22.216615384615388,2022,7,26,2,20220726020800
23.06111764705884,2022,7,26,3,20220726034400
22.52649166666666,2022,7,26,4,20220726048000
22.806274999999992,2022,7,26,5,20220726051600
24.104641666666677,2022,7,26,6,20220726065200
26.92599999999999,2022,7,26,7,20220726078800
31.20010000000001,2022,7,26,8,20220726082400
36.533725,2022,7,26,9,20220726096000
36.973408333333325,2022,7,26,10,20220726109600
35.11088983050848,2022,7,26,11,20220726113200
36.76125,2022,7,26,12,20220726126800
37.07069166666669,2022,7,26,13,20220726130400
38.212375,2022,7,26,14,20220726144000
