value,year,month,day,hour,timestamp
22.60737288135592,2022,7,29,16,20220729160400
22.58888333333333,2022,7,29,17,20220729174000
22.792808333333323,2022,7,29,18,20220729187600
22.599279661016947,2022,7,29,19,20220729191200
22.334000000000007,2022,7,29,20,20220729204800
22.003999999999984,2022,7,29,21,20220729218400
20.942358333333328,2022,7,29,22,20220729222000
20.71382499999999,2022,7,29,23,20220729235600
20.08629166666668,2022,7,30,0,20220730009200
20.09011666666668,2022,7,30,1,20220730012800
20.32997500000001,2022,7,30,2,20220730026400
20.188700000000004,2022,7,30,3,20220730030000
19.721427350427348,2022,7,30,4,20220730043600
20.22469166666665,2022,7,30,5,20220730057200
21.33482500000001,2022,7,30,6,20220730060800
24.51270833333333,2022,7,30,7,20220730074400
27.367341666666665,2022,7,30,8,20220730088000
31.14378151260504,2022,7,30,9,20220730091600
37.667133333333325,2022,7,30,10,20220730105200
41.30195000000001,2022,7,30,11,20220730118800
39.81680833333333,2022,7,30,12,20220730122400
32.530425,2022,7,30,13,20220730136000
32.623741666666646,2022,7,30,14,20220730149600
35.553308333333334,2022,7,30,15,20220730153200
35.10909243697479,2022,7,30,16,20220730166800
30.680758333333326,2022,7,30,17,20220730170400
27.57501680672269,2022,7,30,18,20220730184000
24.476858333333343,2022,7,30,19,20220730197600
22.31920560747664,2022,7,30,20,20220730201200
21.674054054054068,2022,7,30,21,20220730214800
20.83965833333332,2022,7,30,22,20220730228400
19.923361344537813,2022,7,30,23,20220730232000
19.482850000000003,2022,7,31,0,20220731005600
18.978150000000003,2022,7,31,1,20220731019200
18.232641666666677,2022,7,31,2,20220731022800
17.88585714285715,2022,7,31,3,20220731036400
17.102883333333327,2022,7,31,4,20220731040000
17.649366666666673,2022,7,31,5,20220731053600
20.34031666666667,2022,7,31,6,20220731067200
26.438658333333343,2022,7,31,7,20220731070800
29.600680672268915,2022,7,31,8,20220731084400
34.274080357142864,2022,7,31,9,20220731098000
42.73391262135922,2022,7,31,10,20220731101600
45.32814166666665,2022,7,31,11,20220731115200
43.33760504201682,2022,7,31,12,20220731128800
35.084250000000004,2022,7,31,13,20220731132400
35.07080833333335,2022,7,31,14,20220731146000
37.32782905982904,2022,7,31,15,20220731159600
37.36593103448276,2022,7,31,16,20220731163200
32.768210084033605,2022,7,31,17,20220731176800
29.539873949579857,2022,7,31,18,20220731180400
26.001008333333328,2022,7,31,19,20220731194000
23.71381355932204,2022,7,31,20,20220731207600
22.370216666666675,2022,7,31,21,20220731211200
21.934999999999995,2022,7,31,22,20220731224800
21.62485,2022,7,31,23,20220731238400
21.544075000000007,2022,8,1,0,20220801002000
20.128325,2022,8,1,1,20220801015600
19.13534453781513,2022,8,1,2,20220801029200
18.17267500000001,2022,8,1,3,20220801032800
17.90210000000001,2022,8,1,4,20220801046400
18.337125000000007,2022,8,1,5,20220801050000
21.58899166666668,2022,8,1,6,20220801063600
27.7971,2022,8,1,7,20220801077200
30.90925,2022,8,1,8,20220801080800
35.87855833333334,2022,8,1,9,20220801094400
44.4417,2022,8,1,10,20220801108000
47.58668333333334,2022,8,1,11,20220801111600
44.60695,2022,8,1,12,20220801125200
37.1192564102564,2022,8,1,13,20220801138800
37.2835,2022,8,1,14,20220801142400
39.29976470588233,2022,8,1,15,20220801156000
39.00028333333334,2022,8,1,16,20220801169600
34.03922499999999,2022,8,1,17,20220801173200
30.66814285714286,2022,8,1,18,20220801186800
27.00514166666665,2022,8,1,19,20220801190400
25.241883333333337,2022,8,1,20,20220801204000
23.93153333333334,2022,8,1,21,20220801217600
22.83606666666666,2022,8,1,22,20220801221200
21.893558333333345,2022,8,1,23,20220801234800
21.34514166666669,2022,8,2,0,20220802008400
21.37023275862068,2022,8,2,1,20220802012000
21.24244166666667,2022,8,2,2,20220802025600
20.712216666666663,2022,8,2,3,20220802039200
22.212258333333345,2022,8,2,4,20220802042800
23.3051,2022,8,2,5,20220802056400
23.6646,2022,8,2,6,20220802060000
26.076358333333328,2022,8,2,7,20220802073600
26.60458333333333,2022,8,2,8,20220802087200
33.131291666666655,2022,8,2,9,20220802090800
37.86953781512604,2022,8,2,10,20220802104400
42.18210169491525,2022,8,2,11,20220802118000
41.023933333333325,2022,8,2,12,20220802121600
34.69855833333332,2022,8,2,13,20220802135200
34.63943697478991,2022,8,2,14,20220802148800
36.62485000000002,2022,8,2,15,20220802152400
36.011208333333315,2022,8,2,16,20220802166000
31.922599999999992,2022,8,2,17,20220802179600
29.005008333333357,2022,8,2,18,20220802183200
26.0506195652174,2022,8,2,19,20220802196800
23.914575000000006,2022,8,2,20,20220802200400
22.55724489795918,2022,8,2,21,20220802214000
21.42153333333334,2022,8,2,22,20220802227600
20.80423333333333,2022,8,2,23,20220802231200
20.22761739130436,2022,8,3,0,20220803004800
19.51897499999998,2022,8,3,1,20220803018400
19.021092436974783,2022,8,3,2,20220803022000
18.28228333333334,2022,8,3,3,20220803035600
17.81953333333333,2022,8,3,4,20220803049200
18.01411666666667,2022,8,3,5,20220803052800
20.606958333333328,2022,8,3,6,20220803066400
27.05523333333332,2022,8,3,7,20220803070000
30.205789915966392,2022,8,3,8,20220803083600
36.375341666666685,2022,8,3,9,20220803097200
42.28245,2022,8,3,10,20220803100800
45.83984745762712,2022,8,3,11,20220803114400
42.88485593220339,2022,8,3,12,20220803128000
36.48396703296704,2022,8,3,13,20220803131600
36.44301724137932,2022,8,3,14,20220803145200
37.54643137254902,2022,8,3,15,20220803158800
37.5839245283019,2022,8,3,16,20220803162400
33.1260170940171,2022,8,3,17,20220803176000
