timestamp,month,day,hour,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12
20240301220400,3,1,22,0.3960933878568388,0.3395285717675317,0.3424692846666729,0.4095957909609744,0.3547584951424464,0.33751228927456056,0.37357068598921783,0.34116705626835864,0.3620464317071467,0.3949492151702779,0.34906449893196095,0.3828091356914305,0.3828091356914305
20240301234000,3,1,23,0.3925001211777605,0.33626919658184057,0.3392272202371752,0.4058147641937171,0.35143061859233127,0.33371719379049747,0.3694379641842152,0.33801103139968747,0.35884112103201915,0.39160779153419506,0.34631830832023824,0.37928200494125053,0.37928200494125053
20240302007600,3,2,0,0.3937562886389778,0.3374086391609298,0.34036061116171124,0.40713657056636254,0.3529501487314202,0.33485504835126106,0.3707845106844826,0.33889394305487974,0.3597900229236549,0.39286450175955023,0.34752161860567565,0.38051505199162183,0.38051505199162183
20240302011200,3,2,1,0.39308928446685243,0.336803613973115,0.339758799302501,0.4064347132165136,0.35236674034589066,0.3345118644651749,0.37044017240969085,0.33789007691004763,0.35886576411588583,0.39210151075333327,0.34706706535033915,0.37986032437574524,0.37986032437574524
20240302024800,3,2,2,0.3889666099932003,0.33306402432441384,0.33603907086062146,0.40209661534353147,0.34833189298292117,0.3313316838010082,0.36673559607863565,0.33379070042333653,0.35482848825864044,0.38764389496435325,0.34332695583262696,0.3758135298548526,0.3758135298548526
20240302038400,3,2,3,0.38442484175687996,0.32894428370654794,0.3319412104564018,0.3973175246703584,0.34412222629351086,0.32722111679180443,0.3623082463307413,0.329706095446278,0.35038994626080233,0.38308511616552504,0.33917731956128644,0.371355355208426,0.371355355208426
20240302042000,3,2,4,0.38379830614985544,0.32837596668672364,0.33137591180568515,0.3966582505022059,0.3436771760581123,0.3263756852288633,0.3617757907206015,0.3291528663051397,0.349657220143598,0.38255546418955416,0.33870292097763754,0.3707403513128104,0.3707403513128104
20240302055600,3,2,5,0.3816718563451438,0.32644710964768175,0.3294572990533646,0.3944206866504446,0.3416564592868241,0.32486331916326106,0.35967210670632266,0.3270915029179967,0.34753270380642565,0.38022819740108027,0.33677583921358156,0.3686530399149165,0.3686530399149165
20240302069200,3,2,6,0.3793478137089402,0.32433902038644347,0.32736040599297966,0.3919752050871371,0.33939106883240244,0.3227796618012033,0.3573591273857525,0.32508524620953094,0.34538752158332997,0.37783529328838505,0.33463454373251666,0.36637177248363706,0.36637177248363706
20240302072800,3,2,7,0.3818408132658574,0.32660036684899973,0.3296097422955967,0.3945984721300059,0.3427770007885982,0.3245232810046337,0.35975839830861506,0.32738509386710946,0.3476790543285066,0.3799707655707766,0.33683993112992094,0.36881888709625,0.36881888709625
20240302086400,3,2,8,0.3845959675159052,0.32909950821461104,0.33209561055688325,0.39749759231721826,0.34600109629555764,0.3266737602139965,0.36245116005539835,0.32990514193128906,0.3502030329554392,0.38258954622622765,0.339306885617221,0.3715233313094819,0.3715233313094819
20240302090000,3,2,9,0.4025225593292162,0.3453603354057918,0.3482700754243139,0.41636090794210034,0.36801820959386544,0.3418041101040017,0.3810760678661697,0.3456159351102852,0.3660500806761877,0.3982232801524703,0.3546405535678727,0.3891199749426432,0.3891199749426432
20240302103600,3,2,10,0.4123682593797333,0.3542911588866266,0.35715346671367765,0.4267210784382521,0.3769703102527959,0.35036773663982285,0.39084869056491234,0.35429095617999107,0.3756757886732056,0.4088496955965757,0.36351049166333493,0.39878445979911786,0.39878445979911786
20240302117200,3,2,11,0.4711356172352171,0.41203236370493757,0.4101769624726118,0.488559225433112,0.4473551288478883,0.40268978881147155,0.4459200699177922,0.4032814405116576,0.43304588667544885,0.4619277139846881,0.4095683244042334,0.456470174084058,0.456470174084058
20240302120800,3,2,12,0.46486596255953255,0.4064472153311727,0.40452009750135265,0.48196196052977225,0.4366028621281187,0.3967069408297518,0.4393578466845086,0.39810128412017687,0.42641904248192714,0.4572098299513977,0.4078286009825185,0.4503159156405159,0.4503159156405159
20240302134400,3,2,13,0.46126522092334876,0.40132808824023175,0.4012712887094938,0.4781730682141367,0.4318925933786637,0.3934374814243773,0.4366786663415414,0.3972159968839073,0.4220324758470738,0.453844645948528,0.4052250715120468,0.4467814475136762,0.4467814475136762
20240302148000,3,2,14,0.45670978861898986,0.3948020853981638,0.3971610997494205,0.47337959948010216,0.42804050208499533,0.3861283087758919,0.43493444971247397,0.3919613371214491,0.4177290572214798,0.44870057484807424,0.4053616825308338,0.4423098602934399,0.4423098602934399
20240302151600,3,2,15,0.48542829419173134,0.42142046985502674,0.42307268764458894,0.5035987421110683,0.4695948244356948,0.39872904439949186,0.4721102301205332,0.4063406665939806,0.44762209691251537,0.46774348214341255,0.4401315445709959,0.4704997869400236,0.4704997869400236
20240302165200,3,2,16,0.4736994516087544,0.41258217160693655,0.4124902102685425,0.49125702864643916,0.44616506497732633,0.3969414894915838,0.4568821639055778,0.4122251483652417,0.4336358106323093,0.4617031226238809,0.4152734858098486,0.4589868197619099,0.4589868197619099
20240302178800,3,2,17,0.4216692191399201,0.36570794407244656,0.36554536007752514,0.436508044159224,0.38226141630101607,0.3598484521965517,0.3976878171889564,0.3665683114472605,0.3851324568951473,0.41854073175343787,0.36869206916708547,0.4079142305916259,0.4079142305916259
20240302182400,3,2,18,0.3901147644170948,0.3363268609878922,0.337075005832816,0.4033047646398156,0.3460817430636809,0.3326109463008662,0.36614082996763186,0.3386660848004651,0.3576402908515576,0.38870770432224255,0.34137995538204124,0.37694055190363407,0.37694055190363407
20240302196000,3,2,19,0.36395909364973766,0.31149186332255485,0.3134757638622052,0.37578237342327636,0.3239859020065293,0.30903237082924717,0.3386295433894747,0.314461300973198,0.33200348560365056,0.3620583197279111,0.3193907756339145,0.3512662897643174,0.3512662897643174
20240302209600,3,2,20,0.3535893663468585,0.3025718382525501,0.3041195632139195,0.36487079351476737,0.31472444338889827,0.29972266531359526,0.32880853216194017,0.3055866664041085,0.32245284670652974,0.3514546367503081,0.30793200584720126,0.34108742264768366,0.34108742264768366
20240302213200,3,2,21,0.3415295592131764,0.2923178461705138,0.293238469427487,0.35218082150520036,0.303091742410035,0.2900083593281406,0.3181540864953716,0.2935581235358322,0.31013677939120005,0.33857095231265655,0.29677398407319167,0.3292495824923405,0.3292495824923405
20240302226800,3,2,22,0.334335436842661,0.2866571810236572,0.2867474932985222,0.3446107824072894,0.2960827074957487,0.28320482429010235,0.31071353210050273,0.28763231895032937,0.30362835843776487,0.32993677868699733,0.2905831567742385,0.3221878716593134,0.3221878716593134
20240302230400,3,2,23,0.33402454820096394,0.28568840659671435,0.28646699059811054,0.3442836488041151,0.29673852891700975,0.2835853830437255,0.3127834694206274,0.28420262478685826,0.30189128116535896,0.3308074036814028,0.29061313454546933,0.32188270508361894,0.32188270508361894
