index,quantity,radius_mean,radius_std,hours_mean,hours_std
0,1,2.3611589040347654,0.7198579288118995,33.0,0.0
1,100,4.70939781360471,1.4360802115186964,66.0,0.0
2,200,5.066997647549373,1.5451495946720153,71.0,0.0
3,300,5.2815575479161705,1.6105912245640066,74.0,0.0
4,500,5.531877431677434,1.6869397927713303,78.0,0.0
5,800,5.782197315438696,1.7632883609786545,81.0,0.0
6,1000,5.889477265622095,1.7960091759246508,83.0,0.0
